animeTitle	Mahoutsukai Sally 2
animeType	TV
animeNumEpisode	88
releaseDate	1989-10-09 00:00:00
endDate	1990-12-22 00:00:00
animeNumMembers	
animeScore	6.49
animeUsers	431
animeRank	
animePopularity	10482
animeDescription	"During Sally's coronation ceremony in the magic world, she hears her human friends back on Earth are in trouble. Despite the warnings from her parents, she escapes to Earth to help her friends. Because she was caught using magic in front of humans, she had to erase her friends' memories. Now Sally will remain on Earth so she can regain Sumire and Yoshiko's friendship while helping other humans in trouble.

This is a sequel and reboot of the original series."
animeRelated	['Mahoutsukai Sally', 'Mahoutsukai Sally (Movie)', 'Mahoutsukai Sally Specials']
animeCharacters	['Yumeno, Sally', 'Kasugano, Sumire', 'Poron', 'Hanamura, Yoshiko']
animeVoices	['Yamamoto, Yuriko', 'Hisakawa, Aya', 'Ichiryuusai, Teiyuu']
animeStaff	[['Kasai, Osamu', 'Director'], ['Asakawa, Hiroko', 'Theme Song Performance, Inserted Song Performance'], ['Tchaikovsky, Pyotr Ilyich', 'Music'], ['Yokoyama, Mitsuteru', 'Original Creator']]
