animeTitle	Dokonjou Gaeru
animeType	TV
animeNumEpisode	103
releaseDate	1972-10-07 00:00:00
endDate	1974-09-28 00:00:00
animeNumMembers	
animeScore	6.4
animeUsers	190
animeRank	
animePopularity	10432
animeDescription	"When Hiroshi was fighting against his rival Gorillaimo, he stumbled over a stone and fell on to a frog. To be surprised, the frog was still alive and it named itself Pyonkichi.

(Source: AniDB)"
animeRelated	['Dokonjougaeru', 'Shin Dokonjou Gaeru']
animeCharacters	['Pyonkichi', 'Hiroshi', 'Yoshizawa, Kyoko', 'Goriraimo', 'Sagawa, Umesaburou', 'Miyama, Midori', 'Pyonko', 'Gorou', 'Minami-sensei', 'Machida-sensei']
animeVoices	['Chijimatsu, Sachiko', 'Nozawa, Masako', 'Kuri, Youko', 'Tatekabe, Kazuya', 'Harada, Kazuo', 'Masuyama, Eiko', 'Takahashi, Kazue', 'Nakamura, Shuusei', 'Nagai, Ichiro']
animeStaff	[['Nagahama, Tadao', 'Director, Episode Director, Storyboard, Chief Animation Director'], ['Takayashiki, Hideo', 'Episode Director'], ['Tsuji, Masaki', 'Script'], ['Takeuchi, Yoshio', 'Script']]
