animeTitle	Hissatsu Chikan Nin
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.08
animeUsers	1192
animeRank	
animePopularity	8122
animeDescription	"One day, when Koichi was on a crowded train, a girl in front of him suddenly cried out, ""He's a train molester!"" ""What!? No, I didn't do that!"" He was mistakenly arrested for train molestation. Two years later, Koichi is now on a train to take revenge on that girl, ""I'll do it...."""
animeRelated	[]
animeCharacters	['Kanon']
animeVoices	[]
animeStaff	[['Yoshida, Tomohiro', 'Sound Director'], ['Tsubone, Kentarou', 'Editing']]
