animeTitle	b'Tatsu no Ko Tarou'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.81
animeUsers	1340
animeRank	
animePopularity	
animeDescription	b'Patterned after Japanese art and silk screens, Taro, The Dragon Boy is an animated feature about Japanese mythology and cultures, focusing on Taro, a young boy who has to make a voyage to a distant lake to save his mother, who has been turned into a dragon.'
animeRelated	[]
animeCharacters	[b'Aya', b'Tatsunoko, Taro', b'Yamanba']
animeVoices	[b'\nTominaga, Miina\nJapanese\n', b'\nKato, Junya\nJapanese\n', b'\nKiki, Kirin\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nUrayama, Kirio\n\nDirector, Script\n\n', b'\nMitsui, Takashi\n\nScript\n\n', b'\nMizuki, Ichirou\n\nTheme Song Performance\n\n', b'\nWakabayashi, Ichirou\n\nTheme Song Lyrics\n\n']
