animeTitle	Porong Porong Pororo 3
animeType	TV
animeNumEpisode	52
releaseDate	2009-05-04 00:00:00
endDate	2009-10-27 00:00:00
animeNumMembers	334
animeScore	5.71
animeUsers	134
animeRank	9698
animePopularity	14202
animeDescription	A direct continuation of the second season. This time there are aliens and a robot friend that hangs out with the gang.
animeRelated	['Porong Porong Pororo 2', 'Porong Porong Pororo 4']
animeCharacters	['Pororo']
animeVoices	[]
animeStaff	[]
