animeTitle	Poputepipikku TV Special
animeType	Special
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.36
animeUsers	7291
animeRank	
animePopularity	3890
animeDescription	"Episode 13 and 14 of Poputepipikku. The special has four versions shown on four different broadcasters: Tokyo MX (Blue Dragon ver.), Nico Nico Douga (Vermilion Bird ver.), Abema TV Anilive (White Tiger ver.) and Abema TV Pop Team Epic Channel (Black Tortoise ver.). Each version has a unique combination of seiyuus.

(Source: AniDB)"
animeRelated	['Poputepipikku']
animeCharacters	['Popuko', 'Pipimi']
animeVoices	[]
animeStaff	[['Aoki, Jun', 'Producer, Director, Episode Director, Storyboard, Special Effects, Series Composition, Setting, Editing, Character Design, Key Animation, In-Between Animation'], ['Ookawa, bkub', 'Original Creator'], ['Kotobuki, Tsukasa', 'Key Animation, Animation Director']]
