animeTitle	Gokujou!! Mecha Mote Iinchou Second Collection
animeType	TV
animeNumEpisode	51
releaseDate	2010-04-03 00:00:00
endDate	2011-04-10 00:00:00
animeNumMembers	2507
animeScore	6.3
animeUsers	574
animeRank	7169
animePopularity	8850
animeDescription	The continuation of Gokujou!! Mecha Mote Iinchou with a new title.  Episode numbers continue from 51.
animeRelated	['Gokujou!! Mecha Mote Iinchou']
animeCharacters	['Kitagami, Mimi', 'Toujou, Ushio', 'Nishizaki, Ao', 'Nagumo, Namito', 'Temotemo', 'Himuro, Ibu', 'Konaka, Mari', 'Kaneda, Riko', 'Mimura, Mako', 'Harui, Kaho']
animeVoices	['Ogawa, Mana', 'Oshima, Ryo', 'Abe, Ryutaro', 'Watanabe, Tomohiro', 'Chiba, Chiemi', 'Inoue, Marina']
animeStaff	[['Arakawa, Masatsugu', 'Director'], ['Tsubota, Fumi', 'Script'], ['Sayama, Kiyoko', 'Storyboard'], ['Ogawa, Mana', 'Theme Song Performance, Inserted Song Performance']]
