animeTitle	Buta
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.44
animeUsers	4591
animeRank	
animePopularity	5756
animeDescription	"A few days before Fox officially inherits the treasured heirloom in his family—a mysterious map, the Tufugu Pirates storm into his house and kidnap him, taking the strange map with them.

Buta, a powerful mercenary, is hired by shady characters to help them seek the treasure. In a stroke of great luck, Buta and Fox meet in the underbelly of a pirate ship. Will Fox be able to convince Buta to save him, or will the fabled treasure fall into the hands of crooks?

[Written by MAL Rewrite]"
animeRelated	['Wasurenagumo', 'Puka Puka Juju', 'Shiranpuri (Movie)']
animeCharacters	['Fox', 'Guppi', 'Torafugu', 'Buta']
animeVoices	['Sawashiro, Miyuki', 'Yukino, Satsuki', 'Sakuya, Shunsuke', 'Terasoma, Masaki']
animeStaff	[['Tomonaga, Kazuhide', 'Director, Script'], ['Kikuta, Hiromi', 'Sound Director'], ['Kurahashi, Shizuo', 'Sound Effects'], ['Kasahara, Yoshihiro', 'Editing']]
