animeTitle	Kaze no Matasaburou (Movie)
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.12
animeUsers	1444
animeRank	
animePopularity	8160
animeDescription	"A girl moves from the city and goes to school in the country due to some circumstances in her father's job. Her new schoolmates keep her at a distance. There is a boy she'd like to get to know better, but she worries about how he might treat her and doesn't try to get closer. She begins to hate life in the countryside and longs to return to the city, but she ends up meeting a real god of wind.

(Source: MAL News)"
animeRelated	['Kaze no Matasaburou', 'Utopa', 'Kacchikenee!', 'Colorful Ninja Iromaki']
animeCharacters	"['Fuujin', 'Takada-san', 'Kouichi', 'Mimizu', 'Kasuke', 'Sensei', 'Kouichi no Sobo', 'Takada no Chichi', ""Kouichi's Mother"", 'Kame']"
animeVoices	['Tanaka, Masahiko', 'Inaba, Natsuki', 'Yamazaki, Satoshi', 'Saitou, Momoko', 'Morohoshi, Sumire', 'Okada, Eimi', 'Takahashi, Rieko', 'Sakaguchi, Shuuhei', 'Kojima, Sachiko', 'Shimoji, Shino']
animeStaff	[['Yamada, Hiroki', 'Director'], ['Miyazawa, Kenji', 'Original Creator'], ['Horiuchi, Hiroyuki', 'Animation Director']]
