animeTitle	b'Asobi ni Iku yo!'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.62
animeUsers	80077
animeRank	
animePopularity	
animeDescription	"b""Kio is just another boring, nice guy with a boring, nice life until he meets a beautiful, curvaceous cat-girl while attending a memorial service for one of his ancestors. Next thing he knows, he's lying in bed with this half-naked beauty next to him! Her name is Eris, and she has come to Earth to learn more about its inhabitants as a representative of the planet Catian. And she's decided to set up shop at Kio's home for her stay on Earth!\n\nUnbeknownst to Kio, there are quite a few organizations who will attempt to capture Eris, looking to keep her existence a secret by any means necessary. What's worse is when people around Kio turn out to secretly be a part of those organizations! Kio will have to work hard to keep Eris safe from these shady groups. Things are about to get mysterious, exciting, and most importantly sexy in Asobi ni Iku yo!"""
animeRelated	[b'Asobi ni Iku yo!', b'Asobi ni Iku yo!: Asobi ni Oide']
animeCharacters	[b'Eris', b'Futaba, Aoi', b'Kinjou, Manami', b'Kakazu, Kio', b'Kuune', b'Chaika', b'Melwin', b'Durel', b'Miyagi, Yuuichi', b'Jens']
animeVoices	[b'\nItou, Kanae\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n', b'\nTomatsu, Haruka\nJapanese\n', b'\nTamura, Mutsumi\nJapanese\n', b'\nInoue, Kikuko\nJapanese\n', b'\nKotobuki, Minako\nJapanese\n', b'\nToyosaki, Aki\nJapanese\n', b'\nShindo, Naomi\nJapanese\n', b'\nTachiki, Fumihiko\nJapanese\n', b'\nHorie, Yui\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nUeda, Youichi\n\nDirector, Storyboard\n\n', b'\nTsuruoka, Youta\n\nSound Director\n\n', b'\nUtsunomiya, Masamitsu\n\nEpisode Director\n\n', b'\nNishikubo, Mizuho\n\nStoryboard\n\n']
