animeTitle	Neko Funjatta
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.17
animeUsers	168
animeRank	
animePopularity	14351
animeDescription	"A song for the Minna no Uta segment, it adapts ""Flohwalzer"" (Flea Waltz) is a simple German piano piece, often one of the first learned because its fingering is simple and it allows beginners to perform a piece that is harmonically and rhythmically pleasing. It has different names in different countries but in Japan this piece is known as Neko Funjatta (I Stepped on the Cat).

(Source: Wiki)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
