animeTitle	Shin Hokuto no Ken
animeType	OVA
animeNumEpisode	3
releaseDate	2003-07-24 00:00:00
endDate	2004-05-28 00:00:00
animeNumMembers	
animeScore	6.96
animeUsers	5257
animeRank	
animePopularity	4819
animeDescription	"In a post-apocalyptic Earth, the water has become entirely toxic, except for some kept safe in a reservoir. A fortified zone has been created by a man named Sanga, he calls it The Lastland. A group of villagers have discovered safe water, and Sanga wants it. He and his band of killers go to kill everyone and steal it. As they do a mysterious man appears out of nowhere, instantly killing some of Sanga's men. His name is Kenshiro, and he can beat any man with his martial art, Hokuto Shin Ken. Sanga will do anything for the water, and Kenshiro will do anything to try and stop him.

(Source: ANN)"
animeRelated	['Hokuto no Ken: Jubaku no Machi', 'Hokuto no Ken 2']
animeCharacters	['Kenshirou', 'Toki', 'Seiji', 'Sanga']
animeVoices	['Koyasu, Takehito', 'Tanaka, Hideyuki', 'GACKT', 'Ishizuka, Unshou']
animeStaff	[['Watanabe, Takashi', 'Director, Storyboard'], ['Mima, Masafumi', 'Sound Director'], ['GACKT', 'Theme Song Performance'], ['Takanashi, Yasuharu', 'Music']]
