animeTitle	b'Psychic Academy'
animeType	b'TV'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	6.23
animeUsers	4199
animeRank	
animePopularity	
animeDescription	b'Insecure Ai Shiomi begins attending the prestigous Psychic Academy for psychically gifted students, following in the footsteps of his legendary older brother.\n\n(Source: ANN)'
animeRelated	[b'Psychic Academy Oura Bansho']
animeCharacters	[b'Myuu', b'Orina', b'Shiomi, Ai', b'Kyupura Pa Azaraku Vairu Rua Darugo, Zerodaimu', b'Buu', b'Dumdee, Faafa', b'Kyaru']
animeVoices	[b'\nHigasayama, Tsugumi\nJapanese\n', b'\nTanaka, Rie\nJapanese\n', b'\nSakaguchi, Daisuke\nJapanese\n', b'\nKamiya, Hiroshi\nJapanese\n', b'\nChiba, Shigeru\nJapanese\n', b'\nArishima, Moyu\nJapanese\n', b'\nShimizu, Ai\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMotoyama, Satoshi\n\nSound Director\n\n', b'\nTanaka, Rie\n\nTheme Song Performance\n\n', b'\nOkada, Mio\n\nTheme Song Arrangement, Theme Song Composition, Theme Song Lyrics\n\n', b'\nTakashima, Tomoaki\n\nTheme Song Arrangement\n\n']
