animeTitle	b'Kodoku no Gourmet'
animeType	b'ONA'
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""Inogashira Gorou eats and indulges at restaurants or ramen shops found on any street corners. He has become a liberal foodie removed from social obligations for a fleeting moment to satisfy his hunger. Solitary Gourmet... That's the solitary process of eating without interruption or worry that gives the most comfort to people equally.\n\n(Source: Jmanga)"""
animeRelated	[b'Kodoku no Gourmet']
animeCharacters	[b'Inogashira, Gorou']
animeVoices	[b'\nHoriuchi, Kenyuu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKise, Kazuchika\n\nDirector\n\n', b'\nTaniguchi, Jiro\n\nOriginal Character Design\n\n', b'\nKusumi, Masayuki\n\nOriginal Creator\n\n']
