animeTitle	Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2
animeType	TV
animeNumEpisode	Unknown
releaseDate	2022-01-01 00:00:00
endDate	
animeNumMembers	39641
animeScore	
animeUsers	
animeRank	
animePopularity	3016
animeDescription	Second part of Genjitsu Shugi Yuusha no Oukoku Saikenki.
animeRelated	['Genjitsu Shugi Yuusha no Oukoku Saikenki']
animeCharacters	['Elfrieden, Liscia', 'Souma, Kazuya', 'Doma, Juna', 'Udgard, Aisha', 'Inui, Tomoe', 'Amidonia, Roroa', 'Kwonmin, Hakuya', 'Euphoria, Jeanne', 'Vargas, Carla', 'Panacotta, Poncho']
animeVoices	['Minase, Inori', 'Kobayashi, Yuusuke', 'Ueda, Reina', 'Hasegawa, Ikumi', 'Kahara, Moe', 'Ichimichi, Mao', 'Okitsu, Kazuyuki', 'Ishikawa, Yui', 'Terakawa, Aimi', 'Mizunaka, Masaaki']
animeStaff	[['Watanabe, Takashi', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Oonogi, Hiroshi', 'Script'], ['Minase, Inori', 'Theme Song Performance']]
