animeTitle	b'Kiki to Lala no Hakuchouza no Ohimesama'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'In this episode, Kiki and Lala are learning about stars and constellations, and even meeting the Queen of Stars herself.'
animeRelated	[b'Kiki to Lala no Aoi Tori', b'Kiki to Lala no Hansel to Gretel', b'Kiki to Lala no Ohimesama ni Naritai', b'Kiki to Lala no Papa to Mama ni Aitai', b'Kiki to Lala no Hoshi no Dance Shoes']
animeCharacters	[b'Lala', b'Kiki']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nHata, Masami\n\nDirector\n\n', b'\nKobayashi, Katsuyoshi\n\nSound Director\n\n', b'\nArisawa, Takanori\n\nMusic\n\n', b'\nMatsuda, Akihiko\n\nSound Effects\n\n']
