animeTitle	Hakodate Musical
animeType	Special
animeNumEpisode	1
releaseDate	2016-08-10 00:00:00
endDate	
animeNumMembers	184
animeScore	
animeUsers	
animeRank	15892
animePopularity	16329
animeDescription	"WOW Inc.'s first architectural project: ""Future Center Hakodate and Kids Plaza Hakodate"" opened in Hakodate, Hokkaido on October 15, 2016. It opened as a regional exchange center after two and half years of cooperation with Sony PCL.

The large LED display ""Media Wall"" was requested by the city at the time of project planning, and it features various animations on display. Ryou Inoue was invited to create a musical opening for the Media Wall."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
