animeTitle	b'Kurogane no Linebarrels Picture Drama'
animeType	b'Special'
animeNumEpisode	9
releaseDate	
endDate	
animeNumMembers	
animeScore	6.12
animeUsers	104
animeRank	
animePopularity	
animeDescription	b'Picture dramas included on the DVDs.'
animeRelated	[b'Kurogane no Linebarrel', b'Kurogane no Linebarrels']
animeCharacters	[b'Hayase, Kouichi', b'Kizaki, Emi', b'Kujou, Miu', b'Endo, Shizuna', b'Yajima, Hideaki', b'Makoto, Domyoji', b'Katou, Hisataka', b'Niiyama, Risako']
animeVoices	[]
animeStaff	[]
