animeTitle	Seishun Anime Zenshuu Specials
animeType	Special
animeNumEpisode	2
releaseDate	1987-10-08 00:00:00
endDate	1997-10-15 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14966
animeDescription	"Two episode, adaptations of Masao Kume's Student Days and Saneatsu Mushanokoji's The Friend Who Didn't Believe in Friendship, were not broadcast in the original run, appearing instead as two ""specials"" on TV Asahi the following year.

(Source: The Anime Encyclopedia)"
animeRelated	['Seishun Anime Zenshuu']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
