animeTitle	Inbaku Gakuen
animeType	OVA
animeNumEpisode	3
releaseDate	2002-06-25 00:00:00
endDate	2003-05-27 00:00:00
animeNumMembers	
animeScore	6.24
animeUsers	1574
animeRank	
animePopularity	7138
animeDescription	"Keisuke Shimizu, upset over the problems in his household, becomes a delinquent and sees women as only sexual tools. His class representative, Orie Yuki, wants to change his beliefs. To show him the power of true love, Orie agrees to be his sex slave for three months. Orie has no idea what her decision will have on her future, especially since Keisuke's attention is away from his former lover.

(Source: ANN)"
animeRelated	['Inbaku Gakuen']
animeCharacters	['Yuki, Orie']
animeVoices	[]
animeStaff	[['Yoshiten', 'Character Design']]
