animeTitle	b'Devil May Cry'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.96
animeUsers	149792
animeRank	
animePopularity	
animeDescription	"b'Devil May Cry follows the story of the demon hunter known as Dante. As a half demon, half human, he uses his trusty sword Rebellion and his two guns Ebony and Ivory to take on missions. Dante owns and runs ""Devil May Cry,"" a business that specializes in hunting and killing demon-related problems.\n\nBased on the video game series ""Devil May Cry.""'"
animeRelated	[]
animeCharacters	[b'Dante', b'Lowell, Patty', b'Lady', b'Trish', b'Sparda', b'Moduce', b'Morrison, J.D. ', b'Huston, Elena', b'Brad', b'Sid']
animeVoices	[b'\nMorikawa, Toshiyuki\nJapanese\n', b'\nFukuen, Misato\nJapanese\n', b'\nOrikasa, Fumiko\nJapanese\n', b'\nTanaka, Atsuko\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nOotsuka, Akio\nJapanese\n', b'\nPark, Romi\nJapanese\n', b'\nNojima, Hirofumi\nJapanese\n', b'\nNozawa, Nachi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSatomi, Tetsurou\n\nProducer\n\n', b'\nItagaki, Shin\n\nDirector, Episode Director, Storyboard, Key Animation\n\n', b'\nMima, Masafumi\n\nSound Director\n\n', b'\nNakajima, Toshihiko\n\nSound Director\n\n']
