animeTitle	Sore Ike! Anpanman: Lyrical☆Magical Mahou no Gakkou
animeType	Movie
animeNumEpisode	1
releaseDate	1994-07-20 00:00:00
endDate	
animeNumMembers	257
animeScore	
animeUsers	
animeRank	13488
animePopularity	15158
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Currypanman', 'Cheese', 'Dokin-chan', 'Shokupanman', 'Oji-san, Jam', 'Melonpanna', 'Lyrica', 'Batako-san']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yanagisawa, Michiyo', 'Yamadera, Kouichi', 'Tsuru, Hiromi', 'Shimamoto, Sumi', 'Masuoka, Hiroshi', 'Kanai, Mika', 'Matsumoto, Rica', 'Sakuma, Rei']
animeStaff	[['Yano, Hiroyuki', 'Director'], ['Nagaoka, Akinori', 'Director'], ['Ootani, Kazuo', 'Theme Song Arrangement'], ['Dreaming', 'Theme Song Performance']]
