animeTitle	Kyoto Animation: Hana-hen
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.74
animeUsers	2348
animeRank	
animePopularity	7424
animeDescription	"In a vast and tranquil field, a rowdy group of children rush in with bright intentions. Armed with an array of gardening tools, packets of soil, trays of flowers, and a lively attitude to boot, the group sets upon a barren patch to begin their project.

[Written by MAL Rewrite]
"
animeRelated	['Kyoto Animation: Ajisai-hen', 'Kyoto Animation: Hoshi-hen', 'Kyoto Animation: Sora-hen', 'Kyoto Animation: Ikitaku Naru Omise-hen', 'Kyoto Animation: Hassou-hen', 'Kyoto Animation: Megane-hen', 'Kyoto Animation: Kasa-hen', 'Kyoto Animation: Suiei-hen', 'Kyoto Animation: Meiji-hen', 'Kyoto Animation: Souzou-hen']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
