animeTitle	b'Puni Puni\xe2\x98\x86Poemii'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.55
animeUsers	16315
animeRank	
animePopularity	
animeDescription	b'Poemi Watanabe (a.k.a. Kobayashi) is a 10-year-old girl with aspirations of being a famous voice actress. Unfortunately, her school grades are bad and her voice acting is even worse. But when a mysterious alien kills her parents and wreaks havoc all over Tokyo, Poemi grabs a talking fish, skins it into a wand and becomes the magical girl Puni Puni Poemi to save the day.\n\n(Source: ANN)'
animeRelated	[b'Heppoko Jikken Animation Excel\xe2\x99\xa5Saga']
animeCharacters	[b'Nabeshin', b'Watanabe, Poemi', b'Aasu, Futaba', b'K', b'Aasu, Nanase', b'Aasu, Mitsuki', b'Aasu, Itsue', b'Aasu, Hitomi', b'Aasu, Shii', b'Aasu, Mutsumi']
animeVoices	[b'\nWatanabe, Shinichi\nJapanese\n', b'\nKobayashi, Yumiko\nJapanese\n', b'\nImai, Yuka\nJapanese\n', b'\nItou, Ryu\nJapanese\n', b'\nHisakawa, Aya\nJapanese\n', b'\nEnomoto, Atsuko\nJapanese\n', b'\nMitsuishi, Kotono\nJapanese\n', b'\nKoorogi, Satomi\nJapanese\n', b'\nMinami, Omi\nJapanese\n', b'\nKawakami, Tomoko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nGreenfield, Matt\n\nProducer, Script, ADR Director\n\n', b'\nWatanabe, Shinichi\n\nDirector\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nKobayashi, Yumiko\n\nTheme Song Performance\n\n']
