animeTitle	Saishuu Chikan Densha
animeType	OVA
animeNumEpisode	3
releaseDate	2002-09-25 00:00:00
endDate	2003-02-25 00:00:00
animeNumMembers	4192
animeScore	6.4
animeUsers	1498
animeRank	
animePopularity	7505
animeDescription	"In a crowded train, strangers are likely to end up being too close for comfort. But for some people, being too close is a comfort. When a poor conductor witnesses the bizarre yet inviting ritual of anonymous train sex, he jumps on the opportunity to turn it into a business. Every night after the midnight train ends its route, he turns it into a rolling bordello. Get ready to climb aboard... the sleazy train is coming. 

(Source: ANN) "
animeRelated	['Saishuu Chikan Densha', 'Shin Saishuu Chikan Densha']
animeCharacters	['Amano, Tetsuo', 'Nishimura, Sana']
animeVoices	[]
animeStaff	[['Nagai, Shinpei', 'Assistant Producer'], ['Raika, Ken', 'Director, Key Animation'], ['Kitagawa, Masato', 'Episode Director'], ['Atelier Kaguya', 'Original Creator']]
