animeTitle	b'Hatsu Inu The Animation'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.29
animeUsers	11027
animeRank	
animePopularity	
animeDescription	"b'By chance, Fukaya became the lover of a very quiet and beautiful girl, Fujino, yet he worries about the vibrator she\'s always carrying. ""Perhaps, she considers me no more fondly than that vibrator?"" In fact, their relationship began when he found her using a vibrator aboard a crowded train. Although they have passionate sex, he can\'t be certain that she loves him, and feels threatened by her vibrator. Now, the two of them are going to a pool. As she will be unable to use the vibrator in the water, he expects they will be alone, but...\n\n(Source: AnimeNfo)'"
animeRelated	[b'Hatsu Inu', b'Hatsu Inu 2 The Animation: Strange Kind of Woman - Again']
animeCharacters	[b'Fujino, Shion', b'Fukaya', b'Mita', b'Nurse']
animeVoices	[b'\nGotou, Mai\nJapanese\n', b'\nIchimura, Oma\nJapanese\n', b'\nKawaragi, Shiho\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nWatase, Toshihiro\n\nDirector, Episode Director, Storyboard\n\n', b'\nInu\n\nOriginal Creator\n\n']
