animeTitle	Kimi ga Nozomu Eien: Ayu Mayu Gekijou
animeType	ONA
animeNumEpisode	7
releaseDate	2006-09-29 00:00:00
endDate	2007-02-23 00:00:00
animeNumMembers	6030
animeScore	6.2
animeUsers	2870
animeRank	7685
animePopularity	6479
animeDescription	"A spin-off show from Kimi ga Nozomu Eien. It's about the daily adventures of Ayu and Mayu, the two waitresses from Sky Temple. 

(Source: AniDB)"
animeRelated	['Kimi ga Nozomu Eien']
animeCharacters	['Daikuuji, Ayu', 'Tamano, Mayu', 'Kagami, Sumika', 'Mitsurugi, Meiya', 'Shirogane, Takeru', 'Suzumiya, Akane', 'Kouzuki, Yuuko', 'Yashiro, Kasumi', 'Ayamine, Kei', 'Narumi, Takayuki']
animeVoices	['Asai, Kiyomi', 'Yoshizumi, Kozue', 'Taguchi, Hiroko', 'Okushima, Kazumi', 'Hoshi, Souichirou', 'Motoi, Emi', 'Kuribayashi, Minami', 'Taniyama, Kishou']
animeStaff	[['Watanabe, Akio', 'Storyboard, Key Animation'], ['Hata, Aki', 'Theme Song Lyrics'], ['Asai, Kiyomi', 'Theme Song Performance'], ['Age', 'Original Creator']]
