animeTitle	Initial D Second Stage
animeType	TV
animeNumEpisode	13
releaseDate	1999-10-15 00:00:00
endDate	2000-01-21 00:00:00
animeNumMembers	
animeScore	8.13
animeUsers	100181
animeRank	
animePopularity	1091
animeDescription	"Accumulating an impressive series of victories with his AE86, Takumi Fujiwara has imposed himself as street racing's newest rising star. However, his newly found confidence of winning at his home turf of Mount Akina has been put in jeopardy by a new Emperor team exclusively using a car model favored by most professional racing pilots: the Mitsubishi four-wheel drive Lancer Evolutions—also known as Lan Evos. The Emperor team leader, Kyouichi Sudou, looks down on Takumi and regards him as an inferior pilot for driving an antique car that lacks the makings of a true modern race car. Kyouichi's elitist philosophy is also the reason why his team is only made of Lan Evo drivers.

Will Takumi be able to keep his perfect track record intact against the highly skilled and mechanically superior Emperor team, or does his hot streak end here?

[Written by MAL Rewrite]"
animeRelated	['Initial D', 'Initial D First Stage', 'Initial D Third Stage', 'Initial D Battle Stage', 'Initial D: Project D to the Next Stage - Project D e Mukete', 'Initial D Extra Stage']
animeCharacters	['Fujiwara, Takumi', 'Fujiwara, Bunta', 'Takahashi, Ryousuke', 'Takahashi, Keisuke', 'Takeuchi, Itsuki', 'Nakazato, Takeshi', 'Shouji, Shingo', 'Iketani, Kouichirou', 'Sudou, Kyoichi', 'Mogi, Natsuki']
animeVoices	['Miki, Shinichiro', 'Ishizuka, Unshou', 'Koyasu, Takehito', 'Seki, Tomokazu', 'Iwata, Mitsuo', 'Hiyama, Nobuyuki', 'Fujiwara, Keiji', 'Yao, Kazuki', 'Tanaka, Masahiko', 'Kawasumi, Ayako']
animeStaff	[['Masaki, Shinichi', 'Director, Storyboard'], ['Vale, Eric', 'Script'], ['Hanyuu, Naoyasu', 'Storyboard'], ['Kanbara, Toshiaki', 'Storyboard']]
