animeTitle	Monster Strike Anime
animeType	ONA
animeNumEpisode	23
releaseDate	2017-04-01 00:00:00
endDate	2017-09-02 00:00:00
animeNumMembers	6189
animeScore	6.33
animeUsers	1239
animeRank	7007
animePopularity	6433
animeDescription	"Second season of Monster Strike, animated entirely in CG. 

A transfer student from America, Mana Livingston, becomes friends with the main cast and learns about the Monster Strike game, even obtaining her own ring and partner. Together everyone helps solve crises involving the energy points that draw monsters in random areas of Japan. By sealing them the monsters will stop being drawn to them. But Madarame, a CEO who reaches out to the children, is not telling them the whole truth."
animeRelated	['Monsuto Anime: Katsubou no Hate no Risoukyou', 'Mon-Soni!: Senritsu no Lucifer, Tada Hitotsu no Hajimari no Uta', 'Monster Strike Anime: Kieyuku Uchuu-hen']
animeCharacters	['Oragon', 'Homura, Ren', 'Kagetsuki, Akira', 'Wakaba, Minami', 'Mizusawa, Aoi', 'Livingston, Mana', 'Lucifer', 'Sakamoto, Ryouma', 'Miroku', 'Nostradamus']
animeVoices	['Fukushima, Jun', 'Kobayashi, Yuusuke', 'Kawanishi, Kengo', 'Kimura, Juri', 'Lynn', 'Kanemoto, Hisako', 'Hikasa, Youko', 'Murata, Taishi', 'Kawasumi, Ayako', 'Kugimiya, Rie']
animeStaff	[['Hirasawa, Nao', 'Producer'], ['Oogami, Yuuma', 'Producer'], ['Hamana, Takayuki', 'Director'], ['Kobayashi, Shunsuke', 'Director of Photography']]
