animeTitle	Time: Toki no Shiori
animeType	Music
animeNumEpisode	1
releaseDate	2002-10-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17415
animeDescription	On a wonderful night the desire to stop time is overwhelming. Longing for it to remain at it is with a spirit of hope and love that we contain in ourselves worried that the passage of minutes might snatch it away.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
