animeTitle	Maken-Ki! OVA
animeType	OVA
animeNumEpisode	2
releaseDate	2012-03-01 00:00:00
endDate	2013-09-25 00:00:00
animeNumMembers	
animeScore	6.61
animeUsers	24853
animeRank	
animePopularity	2453
animeDescription	OVA episodes bundled with the 8th and 11th volumes of the manga.
animeRelated	['Maken-Ki!', 'Maken-Ki! Two']
animeCharacters	['Amaya, Haruko', 'Ooyama, Takeru', 'Nijou, Aki', 'Himegami, Kodama', 'Kushiya, Inaho', 'Shinatsu, Azuki', 'Ootsuka, Celia', 'Rokujou, Minori', 'Akaza, Chacha', 'Satou, Kimi']
animeVoices	['Shitaya, Noriko', 'Saitou, Chiwa', 'Harada, Hitomi', 'Yahagi, Sayuri', 'Nomizu, Iori', 'Togashi, Misuzu', 'Ise, Mariya', 'Mina', 'Zougou, Saeko', 'Misato']
animeStaff	[['Hasegawa, Yasuo', 'Producer'], ['Kaneko, Hiraku', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Marchi, Jamie', 'Script']]
