animeTitle	b'Mahou Shoujo Lyrical Nanoha ViVid'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.73
animeUsers	8238
animeRank	
animePopularity	
animeDescription	b'The series takes place four years after the events of Mahou Shoujo Lyrical Nanoha StrikerS, during which, magical girl Nanoha Takamachi rescued and adopted a young girl named Vivio, who is the reincarnation of the Sankt Kaiser, Olivie Segbrecht. After entering her fourth year of elementary school, Vivio is given her own intelligence device, Sacred Heart, and gains the power to transform using her adult Sankt Kaiser mode. She soon comes across a girl named Einhart Stratos who, similar to Vivio, is the descendant of another Sankt Kaiser ruler, Claus G.S. Ingvalt. As Einhart becomes determined to prove her fighting style is the strongest, Vivio befriends her and together with her friends, enters a martial arts tournament where they fight against various magical opponents and learn more about their past lives.\n\n(Source: Wikipedia)'
animeRelated	[b'Mahou Shoujo Lyrical Nanoha ViVid', b'Mahou Shoujo Lyrical Nanoha StrikerS', b'Mahou Shoujo Lyrical Nanoha ViVid: Special Program', b'ViVid Strike!']
animeCharacters	[b'Vivio', b'Stratos, Einhald', b'Testarossa, Fate', b'Takamachi, Nanoha', b'Yagami, Hayate', b'Vita', b'Signum', b'Nakajima, Subaru', b'Lanster, Teana', b'Reinforce II']
animeVoices	[b'\nMizuhashi, Kaori\nJapanese\n', b'\nNoto, Mamiko\nJapanese\n', b'\nMizuki, Nana\nJapanese\n', b'\nTamura, Yukari\nJapanese\n', b'\nUeda, Kana\nJapanese\n', b'\nSanada, Asami\nJapanese\n', b'\nShimizu, Kaori\nJapanese\n', b'\nSaitou, Chiwa\nJapanese\n', b'\nNakahara, Mai\nJapanese\n', b'\nYukana\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nItou, Yuuki\n\nDirector\n\n', b'\nMajima, Takahiro\n\nEpisode Director\n\n', b'\nKobayashi, Naruaki\n\nScript\n\n', b'\nKaneko, Shingo\n\nStoryboard\n\n']
