animeTitle	Kaidan Restaurant
animeType	TV
animeNumEpisode	23
releaseDate	2009-10-13 00:00:00
endDate	2010-06-08 00:00:00
animeNumMembers	
animeScore	7.27
animeUsers	4147
animeRank	
animePopularity	4554
animeDescription	"TV Asahi announced a new kids anime ""Kaidan Restaurant (Thriller Restaurant)"" based on a picture book. Each episode will consist of three stories or ""dishes"": the appetizer, the main dish, and dessert. The first two ""dishes"" will deal with an ordinary sixth-grade schoolgirl named Ako Ozara and the bizarre occurrences that befall her classmates. The third ""dish"" will be a standalone short ghost story told by Ako and her friends."
animeRelated	[]
animeCharacters	"['Koumoto, Shou', 'Oozora, Ako', 'Sakuma, Reiko', 'Garcon, Ghastly', 'Shinichi', 'Misakubo, Yuuma', 'Hinotama Boy', 'Baku', ""Junko's father"", ""Junko's mother""]"
animeVoices	['Yuuki, Hiro', 'Shiraishi, Ryouko', 'Asano, Masumi', 'Hirata, Hiroaki', 'Morita, Masakazu', 'Kawahara, Yoshihisa', 'Seki, Tomokazu', 'Yamaguchi, Kappei', 'Fujimoto, Takahiro', 'Saito, Kimiko']
animeStaff	[['Ikeda, Youko', 'Director, Episode Director, Storyboard'], ['Kakudou, Hiroyuki', 'Episode Director, Storyboard'], ['Nakamura, Ryouta', 'Episode Director'], ['Hatano, Morio', 'Episode Director']]
