animeTitle	b'Jokuana'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.68
animeUsers	696
animeRank	
animePopularity	
animeDescription	"b""This just in: TV studios are a haven for the sex-crazed. A whole slew of beautiful and sexually vulnerable women are trying to break into the TV news business, and there are just as many men trying to break into them! A helpful yet horny handyman is looking to stake his own claim as he makes the rounds bedding one hopeful nymph after another. But he's not the only one. Pretty much every male at the studio is looking for a piece of the action. You won't need a teleprompter to know what (and who) will be coming next."""
animeRelated	[]
animeCharacters	[b'Minazuki, Yui', b'Kazuya, Mano', b'Inoue, Kyoko', b'Marie', b'Mayu']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nTsubone, Kentarou\n\nEditing\n\n', b'\nYoshi.Hoka\n\nMusic\n\n']
