animeTitle	Robot Girls Z Plus
animeType	ONA
animeNumEpisode	6
releaseDate	2015-05-20 00:00:00
endDate	2015-10-02 00:00:00
animeNumMembers	6364
animeScore	6.29
animeUsers	2642
animeRank	7215
animePopularity	6357
animeDescription	"Robot Girls Z+, the new Robot Girls Z anime, will be six monthly shorts that will debut next spring. The protagonists of Team Z will appear in the new shorts, along with the reformed Team G, Team LOD, Team Gou, and characters that first appeared in the franchise's online game. The new shorts' story will be based two classic ""Toei Manga Matsuri"" films, Great Mazinger tai Getter Robo (Great Mazinger Vs. Getter Robo) and Great Mazinger tai Getter Robo G - Kuuchuu Dai-Gekitotsu (Great Mazinger Vs. Getter Robo G - The Great Space Encounter).

(Source: ANN)"
animeRelated	['Robot Girls Z']
animeCharacters	['Mazinger Z', 'Great Mazinger', 'Grendizer', 'Nagare, Ryouma', 'Jin, Hayato', 'Tomoe, Musashi', 'Getter Robo', 'Boss Borot', 'Bong', 'Getter Gai']
animeVoices	['Honda, Mariko', 'Minase, Inori', 'Aranami, Kazusa', 'Inada, Tetsu', 'Takemoto, Eiji', 'Kawazu, Yasuhiko', 'Uchida, Maaya', 'Taketatsu, Ayana', 'Takahashi, Minami', 'Ozawa, Ari']
animeStaff	[['Moriyama, Yoshihide', 'Producer'], ['Ikehata, Hiroshi', 'Director, Episode Director, Storyboard'], ['Hyoudou, Kazuho', 'Script, Series Composition'], ['Minase, Inori', 'Theme Song Performance']]
