animeTitle	Tropical-Rouge! Precure Movie: Yuki no Princess to Kiseki no Yubiwa!
animeType	Movie
animeNumEpisode	1
releaseDate	2021-10-23 00:00:00
endDate	
animeNumMembers	780
animeScore	
animeUsers	
animeRank	13942
animePopularity	11775
animeDescription	"The story takes place in the wintry land of Shantia, with Manatsu and the others invited to the land by its princess Sharon. But as they arrive, a mysterious monster attacks Shantia, and it is closed off to outsiders.

(Source: ANN)"
animeRelated	['Tropical-Rouge! Precure']
animeCharacters	['Laura', 'Suzumura, Sango', 'Natsumi, Manatsu', 'Takizawa, Asuka', 'Ichinose, Minori', 'Kurumi, Erika', 'Hanasaki, Tsubomi', 'Tsukikage, Yuri', 'Myoudouin, Itsuki', 'Kururun']
animeVoices	['Hidaka, Rina', 'Hanamori, Yumiri', 'Fairouz, Ai', 'Seto, Asami', 'Ishikawa, Yui', 'Mizusawa, Fumie', 'Mizuki, Nana', 'Hisakawa, Aya', 'Kuwashima, Houko', 'Tanaka, Aimi']
animeStaff	[['Shimizu, Junji', 'Director'], ['Toudou, Izumi', 'Original Creator'], ['Narita, Yoshimi', 'Screenplay'], ['Terada, Shiho', 'Music']]
