animeTitle	Mazinkaiser SKL
animeType	OVA
animeNumEpisode	3
releaseDate	2010-11-27 00:00:00
endDate	2011-04-07 00:00:00
animeNumMembers	
animeScore	7.06
animeUsers	5082
animeRank	
animePopularity	5187
animeDescription	"Prior to the events of the anime, three factions—the Garan Army, the Kiba Army, and the Aira Army, battle for total dominance of Machine Island. The island is basically a prison, isolated from the rest of the world. The island contains a vast amount of resources, allowing the three factions to create an infinite supply of giant robots for their respective armies.

The world government learns that the island's power reactor has become unstable and will explode within 66 hours, destroying all of life and Earth itself. The government sends the Death Caprice squad, composed of mercenaries Ken Kaido and Ryo Magami to solve the issue, along with their giant robot Mazinkaiser, but was that a good idea?"
animeRelated	['Mazinkaiser']
animeCharacters	['Kaido, Ken', 'Magami, Ryo', 'Kiba', 'Tsubasa, Yuki', 'Aira', 'Himiko', 'Misty', 'Hurricane', 'Garan', 'Fancy']
animeVoices	['Asanuma, Shintaro', 'Hino, Satoshi', 'Hiyama, Nobuyuki', 'Hayami, Saori', 'Tanaka, Atsuko', 'Inoue, Kikuko', 'Shimizu, Ai', 'Shiraishi, Ryouko', 'Ginga, Banjou', 'Takahashi, Mikako']
animeStaff	[['Kawagoe, Jun', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Hayakawa, Tadashi', 'Script, Series Composition'], ['Sadie', 'Theme Song Performance, Theme Song Composition']]
