animeTitle	Warau Hyouteki
animeType	OVA
animeNumEpisode	1
releaseDate	1987-03-21 00:00:00
endDate	
animeNumMembers	4183
animeScore	6.2
animeUsers	1790
animeRank	7713
animePopularity	7512
animeDescription	"Yuzuru was an average teenager who had almost forgotten that he was betrothed to Azusa when he was only six! Now arriving to claim what she feels is rightfully hers, only Satomi (Yuzuru's current girlfriend) stands in her way... and with the mysterious and frightening powers that Azusa brings, Satomi won't stand in her way for long!

(Source: AniDB)"
animeRelated	['Rumic World', 'Fire Tripper', 'The Choujo']
animeCharacters	"['Shiga, Azusa', 'Shiga, Yuzuru', 'Satomi', ""Satomi's Mother""]"
animeVoices	['Tsuru, Hiromi', 'Shioya, Yoku', 'Matsumoto, Iyo', 'Satou, Ai']
animeStaff	[['Nunokawa, Yuuji', 'Producer'], ['Takahashi, Motosuke', 'Director'], ['Takayashiki, Hideo', 'Script'], ['Takahashi, Rumiko', 'Original Creator']]
