animeTitle	Ribbon-chan
animeType	TV
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15623
animeDescription	"An anime short series inspired by soft drink company Sapporo Beverage's mascot character Ribbon-chan. The story center on the soda-loving young girl named Ribbon-chan and her pet dog Citron.

Note: The series aired on Wednesdays during episodes of the Nori Suta Max television program.

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
