animeTitle	Overflow
animeType	TV
animeNumEpisode	8
releaseDate	
endDate	
animeNumMembers	
animeScore	7.13
animeUsers	50632
animeRank	
animePopularity	1616
animeDescription	"Kazushi Sudou is a university student who is visited by his two childhood friends, the sisters Ayane and Kotone Shirakawa. When Ayane discovers that Kazushi not only forgot to buy her pudding but is also using her special lotion in the bath, she decides to take revenge and join Kazushi in his bath along with Kotone. Will the perverted Kazushi be able to remain indifferent to them both?

[Written by MAL Rewrite]
"
animeRelated	[]
animeCharacters	['Shirakawa, Ayane', 'Shirakawa, Kotone', 'Sudou, Kazushi']
animeVoices	['Tamiyasu, Tomoe', 'Kadowaki, Mai', 'Sada, Naohiro']
animeStaff	[['Ishigura, Rei', 'Director'], ['Enomoto, Takahiro', 'Sound Director'], ['Kurosaki, Eiyo', 'Script'], ['Uzuho', 'Theme Song Performance']]
