animeTitle	Dokidoki♡Densetsu: Mahoujin Guruguru
animeType	TV
animeNumEpisode	38
releaseDate	2000-04-04 00:00:00
endDate	2000-12-26 00:00:00
animeNumMembers	
animeScore	7.16
animeUsers	1166
animeRank	
animePopularity	7950
animeDescription	"Join the new legend of Guruguru, where Nike, the reluctant hero, and Kukuri, the innocent heroine, return to save the world. The magical adventure that unfolds, with its unique monsters and eccentric characters, is sure to draw you into this curious and exciting realm.

To save the world from evil King Giri, Kukuri must locate the monsters in each territory and win them, one by one, over to her side. Meanwhile Nike's task is to be recognized by the Four Kings of Nature and collect their swords. These swords are known as the ""Sword of Wind,"" the ""Sword of Water,"" the ""Sword of Earth"" and the ""Sword of Fire.""

Can Nike and Kukuri truly become hero and heroine? Follow their journey and find out!

(Source: AniDB)"
animeRelated	['Mahoujin Guruguru']
animeCharacters	['Kukuri', 'Nike', 'Eldol, Udberg', 'Reido', 'Wanchin', 'Kaya', 'Narrator']
animeVoices	['Ogata, Kenichi']
animeStaff	[['Takagi, Jun', 'Director'], ['Miyoshi, Keiichirou', 'Sound Director'], ['Kase, Masahiro', 'Character Design'], ['Tsutsui, Noriko', 'Art Director']]
