animeTitle	b'40 Shuunen Da yo!! CoroCoro All-Star Shougakkou'
animeType	b'ONA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Created In celebration of the 40th anniversary of the founding of Coro Coro Comics. The anime brings together many famous Coro Coro Comics characters. It takes place in an elementary school the characters attend.'
animeRelated	[b'Zettai Zetsumei Dangerous Jiisan (2004)', b'Dangerous Jiisan Ja', b'Future Card Buddyfight', b'Youkai Watch', b'Zettai Zetsumei Dangerous Jiisan (2005)', b'Wazaguu! vs. Dangerous Jiisan Ja: Houfukuzettou! Anime Quiz', b'Zettai Zetsumei Dangerous Jiisan', b'Zettai Zetsumei Dangerous Jiisan Special-ban', b'Kaitou Joker', b'Beyblade Burst', b'Duel Masters VSRF', b'Puzzle & Dragons Cross', b'100% Pascal-sensei (TV)', b'Zo Zo Zo Zombie-kun', b'Duel Masters (2017)', b'100% Pascal-sensei', b'Jii Coro Comic']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
