animeTitle	Nekojiru Gekijou Jirujiru Original
animeType	TV
animeNumEpisode	27
releaseDate	
endDate	
animeNumMembers	
animeScore	6.45
animeUsers	4311
animeRank	
animePopularity	5307
animeDescription	"Based on the comics by the late Nekojiru. Contains 23 animated shorts aired TV Asahi Network's show ""Bokusho Mondai Boss Chara Ou."" and 4 unbroadcast episodes.

(Source: AniDB)"
animeRelated	['Nekojiru Udon', 'Nekojiru-sou']
animeCharacters	['Nyako', 'Nyatta', 'Butaro']
animeVoices	['Uehara, Sakura', 'Nagasawa, Nao']
animeStaff	[['Fukutomi, Hiroshi', 'Director'], ['Nekojiru', 'Original Creator'], ['Nakaza, Youji', 'Art Director']]
