animeTitle	b'Doupo Cangqiong Specials'
animeType	b'ONA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.44
animeUsers	1499
animeRank	
animePopularity	
animeDescription	b'In a land where no magic is present. A land where the strong make the rules and weak have to obey. A land filled with alluring treasures and beauty, yet also filled with unforeseen danger. Three years ago, Xiao Yan, who had shown talents none had seen in decades, suddenly lost everything. His powers, his reputation, and his promise to his mother. What sorcery has caused him to lose all of his powers? And why has his fiancee suddenly shown up?\n\n(Source: wuxiaworld.com)'
animeRelated	[b'Doupo Cangqiong', b'Doupo Cangqiong 2nd Season']
animeCharacters	[b'Xiao, Yan', b'Yao, Chen']
animeVoices	[]
animeStaff	[]
