animeTitle	b'Monkey Turn V'
animeType	b'TV'
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	6.47
animeUsers	135
animeRank	
animePopularity	
animeDescription	b'Sequel to Monkey Turn.'
animeRelated	[b'Monkey Turn']
animeCharacters	[b'Ubukata, Sumi', b'Hatano, Kenji', b'Pedro']
animeVoices	[b'\nNoda, Junko\nJapanese\n', b'\nKawashima, Tokuyoshi\nJapanese\n', b'\nChafurin\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAkiyama, Katsuhito\n\nDirector\n\n', b'\nWatanabe, Jun\n\nSound Director\n\n', b'\nHanyuu, Naoyasu\n\nEpisode Director\n\n', b'\nIshiodori, Hiroshi\n\nEpisode Director\n\n']
