animeTitle	Xian Yue Meng Ying
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	2505
animeScore	
animeUsers	
animeRank	
animePopularity	8857
animeDescription	An OVA currently in production, planned to be released on DVD in China. On August 28, 2010, a promotional video was released advertising the project. In April 2015, the script was announced as complete, and the early stages of animation had begun.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
