animeTitle	Jitaku Keibiin
animeType	OVA
animeNumEpisode	4
releaseDate	2017-03-31 00:00:00
endDate	2017-09-29 00:00:00
animeNumMembers	
animeScore	6.6
animeUsers	4166
animeRank	
animePopularity	5142
animeDescription	"He is a private home security officer with 20 years of military experience. Exceptionally trained in technology and intelligence gathering, he perceives and records the smallest of details of the home to which he is dispatched.

His new assignment is directly from his father, Takao Kareki. He must look after his father's new lover, a potential bride. Nothing but the best professional will do to keep her safe. But in her home, he sees all.

(Source: VNDB)"
animeRelated	['Jitaku Keibiin (2019)', 'Jitaku Keibiin 2']
animeCharacters	['Katsuragi, Shouko', 'Katsuragi, Yuki', 'Katsuragi, Sayaka']
animeVoices	['Misonoo, Mei']
animeStaff	[]
