animeTitle	b'Watanuki-san Chi to'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Second season of Watanuki-san Chi no.'
animeRelated	[b'Watanuki-san Chi no']
animeCharacters	[b'Watanuki, Ichika', b'Shiratori, Ikuko', b'Watanuki, Futaba', b'Watanuki, Mitsuki', b'Yamamura, Shinobu', b'Wakaki, Haru', b'Amaya, Rumi', b'Oomori, Kanako']
animeVoices	[b'\nTokino, Sora\nJapanese\n', b'\nMononobe, Alice\nJapanese\n', b'\nSarugakuchou, Futaba\nJapanese\n', b'\nHibiki, Ao\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTokino, Sora\n\nTheme Song Performance\n\n', b'\nHibiki, Ao\n\nTheme Song Performance\n\n', b'\nSarugakuchou, Futaba\n\nTheme Song Performance\n\n', b'\nMononobe, Alice\n\nTheme Song Performance\n\n']
