animeTitle	Heartcatch Precure! Movie: Hana no Miyako de Fashion Show... Desu ka!?
animeType	Movie
animeNumEpisode	1
releaseDate	2010-10-30 00:00:00
endDate	
animeNumMembers	
animeScore	7.59
animeUsers	3164
animeRank	
animePopularity	6411
animeDescription	Sakura Kurumi, Erika's mother, is preparing for a fashion show in Paris. The girls of the school's fashion club are going to model there, including some high school students. While in Paris, they meet a mysterious boy named Oliver. However, Baron Salamander of the Desert Apostles appears, and the girls transform into Pretty Cures to defend Paris.
animeRelated	['Heartcatch Precure!']
animeCharacters	['Kurumi, Erika', 'Hanasaki, Tsubomi', 'Tsukikage, Yuri', 'Myoudouin, Itsuki', 'Baron Salamander', 'Olivier', 'Potpourri', 'Chypre', 'Coppe', 'Hanasaki, Kaoruko']
animeVoices	['Mizusawa, Fumie', 'Mizuki, Nana', 'Hisakawa, Aya', 'Kuwashima, Houko', 'Fujiwara, Keiji', 'Ootani, Ikue', 'Kikuchi, Kokoro', 'Kawata, Taeko', 'Sakamoto, Chika']
animeStaff	[['Matsuura, Hiroaki', 'Producer'], ['Matsumoto, Rie', 'Director, Storyboard, Assistant Director'], ['Takanashi, Yasuharu', 'Music'], ['Shida, Naotoshi', 'Key Animation']]
