animeTitle	b'Suki Desu Suzuki-kun!!'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.97
animeUsers	2408
animeRank	
animePopularity	
animeDescription	"b""The story of the manga centers on four classmates who just entered the same junior high school together. On the first day of school, a boy named Hikaru Suzuki sees a talented girl named Sayaka performing lines from a drama on the school's rooftop, and he cannot take his eyes off her. Even as Hikaru becomes interested in Sayaka, his longtime friend Chihiro secretly pines for him. On top of that, a boy named Shinobu Suzuki \xe2\x80\x94 no relation to Hikaru \xe2\x80\x94 is falling for Chihiro. \n\n(Source: ANN)"""
animeRelated	[b'Suki desu Suzuki-kun!!']
animeCharacters	[b'Suzuki, Shinobu', b'Suzuki, Hikaru', b'Itou, Chihiro', b'Hoshino, Sayaka']
animeVoices	[b'\nIwasaki, Ryou\nJapanese\n', b'\nOda, Hisafumi\nJapanese\n', b'\nIsshiki, Mayu\nJapanese\n', b'\nAsakura, Azumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSasamoto, Yasushi\n\nTheme Song Lyrics, Theme Song Composition, Theme Song Arrangement\n\n', b'\nIkeyamada, Go\n\nOriginal Creator\n\n']
