animeTitle	Honoo no Mirage: Minagiwa no Hangyakusha
animeType	OVA
animeNumEpisode	3
releaseDate	2004-07-28 00:00:00
endDate	2004-11-26 00:00:00
animeNumMembers	9669
animeScore	6.85
animeUsers	3726
animeRank	4426
animePopularity	5373
animeDescription	"Takaya was sent to Kyoto to investigate the re-awakening of Ikko sect and Araki Murashige, a member of the Ikko sect who deserted the clan.With the help of his vassal Haruie, Takaya is finally successful in tracing Araki who hunts down a 400-years-old mandala (Buddhist artifact for meditating) that was made of the hair of the deceased Araki clansmen. Unfortunately, by the time they meet, Haruie recognizes Araki as Shintarou, her lover in her past-life. Takaya orders her to eliminate Araki, who is a threat, but will she be able to do it. Furthermore Takaya finally meets Naoe... 

(Source: ANN)"
animeRelated	['Honoo no Mirage']
animeCharacters	['Naoe, Nobutsuna', 'Ougi, Takaya', 'Kakizaki, Haruie', 'Narita, Yuzuru', 'Shimozuma, Rairyu', 'Chiaki, Shuuhei']
animeVoices	['Hayami, Show', 'Seki, Toshihiko', 'Tamagawa, Sakiko', 'Matsuno, Taiki', 'Morikawa, Toshiyuki', 'Matsumoto, Yasunori']
animeStaff	[['Muroi, Fumie', 'Director'], ['Tsuruoka, Youta', 'Sound Director'], ['Yonebayashi, Hiromasa', 'Key Animation'], ['Kaneko, Hidetoshi', 'Art Director']]
