animeTitle	Elf wo Karu Mono-tachi II
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.02
animeUsers	5966
animeRank	
animePopularity	5004
animeDescription	"After Junpei botched the second attempt to transport back to Japan, the four embark their journey once again to collect runes imprinted on skin of Elven females by stripping them. Celsia is cursed into the form of another animal this time.

(Source: ANN)"
animeRelated	['Elf wo Karu Mono-tachi']
animeCharacters	['Ryuzouji, Junpei', 'Marieclaire, Celcia', 'Inoue, Ritsuko', 'Komiyama, Airi', 'Mihke', 'Annette', 'Rosa', 'Magistrate', 'Judge', 'Mr. Wolf']
animeVoices	['Seki, Tomokazu', 'Mitsuishi, Kotono', 'Miyamura, Yuko', 'Tomizawa, Michie', 'Kawasaki, Eriko', 'Kawakami, Tomoko', 'Mayama, Ako', 'Tachiki, Fumihiko', 'Cho']
animeStaff	[['Hata, Yoshito', 'Episode Director'], ['Oota, Hiromitsu', 'Episode Director, Storyboard'], ['Yamada, Yasunori', 'Script'], ['Uetake, Sumio', 'Script']]
