animeTitle	Nobara no Julie
animeType	TV
animeNumEpisode	13
releaseDate	1979-01-04 00:00:00
endDate	1979-04-05 00:00:00
animeNumMembers	584
animeScore	
animeUsers	
animeRank	12425
animePopularity	12538
animeDescription	"Eleven-year-old Julie Braun lives in the lush green mountain pastures of Austria's Southern Tyrol. Her parents are killed by Italian soldiers, and she is sent to Vienna to live with her relatives, the Clementes. She befriends cousins Johan and Tanya but has trouble adjusting to life with Uncle Karl and Aunt Klara. As Austria is plunged into World War I, Karl is fired from his job at a glass factory, and Julie's new family is forced into a life of hardship.

(Source: animevice.com)
"
animeRelated	[]
animeCharacters	['Tanya', 'Braun, Julie', 'Oskar', 'Herbie', 'Teresia', 'Narrator', 'Heinrich', 'Johann', 'Karoline', 'Karl']
animeVoices	['Kawashima, Chiyoko']
animeStaff	[['Mozart, Wolfgang Amadeus', 'Music'], ['Strauss II, Johan', 'Music'], ['Tominaga, Sadayoshi', 'Animation Director'], ['Abe, Masaki', 'Animation Director']]
