animeTitle	Otome Chic
animeType	Music
animeNumEpisode	1
releaseDate	2015-11-25 00:00:00
endDate	
animeNumMembers	
animeScore	5.86
animeUsers	329
animeRank	
animePopularity	12393
animeDescription	"Official music video for Oresama's song Otome Chic from the 1st Album release ""oresama"" which formally went on sale December 2, 2015. The album also contained the previously released single Ookami Heart."
animeRelated	['Ookami Heart', 'Ginga', 'Hotohashiru']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
