animeTitle	b'Muteki-kyuu*Believer / Mirai Harmony'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.54
animeUsers	977
animeRank	
animePopularity	
animeDescription	"b""Animated music video for Nijigasaki High School Idol Club's first song of their first single titled Muteki-kyuu*Believer sung by Kasumi Nakasu and Nijigasaki High School Idol Club's second song of their first single titled Mirai Harmony sung by the entire Nijigasaki High School Idol Club. \n\nThe BD release combines both with additional story bits that cover roughly 1 minute and 58 seconds into a single 8 minute and 30 seconds long animated video.\n\n(Source: ANN, Anilist)"""
animeRelated	[b'Love Live! Nijigasaki Gakuen School Idol Doukoukai']
animeCharacters	[b'Tennouji, Rina', b'Yuuki, Setsuna', b'Konoe, Kanata', b'Nakasu, Kasumi', b'Uehara, Ayumu', b'Ousaka, Shizuku', b'Miyashita, Ai', b'Asaka, Karin', b'Verde, Emma']
animeVoices	[b'\nTanaka, Chiemi\nJapanese\n', b'\nKusunoki, Tomori\nJapanese\n', b'\nKitou, Akari\nJapanese\n', b'\nSagara, Mayu\nJapanese\n', b'\nOonishi, Aguri\nJapanese\n', b'\nMaeda, Kaori\nJapanese\n', b'\nMurakami, Natsumi\nJapanese\n', b'\nKubota, Miyu\nJapanese\n', b'\nSashide, Maria\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKawamura, Tomoyuki\n\nDirector, Episode Director, Storyboard\n\n', b'\nYokota, Takumi\n\nCharacter Design, Chief Animation Director\n\n', b'\nNishikura, Chikara\n\nArt Director\n\n']
