animeTitle	Space Bug
animeType	TV
animeNumEpisode	26
releaseDate	2018-07-08 00:00:00
endDate	2019-01-06 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12412
animeDescription	"This story is about Mick, a sleeping chironomid. Insects are taken up into space for use in experiments by humans. An epic space adventure of Mick and his friends of their journey back home to Earth. The development plans and experiments are aborted by humans for no known reason, the organisms are left behind in the space station with limited resources. Going over hurdles and fighting through challenges, together, they travel across planets and gain new comrades, heading for Earth. As their journey progresses, the mystery behind the human’s abandonment unravels… 

(Source: Crunchyroll)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
