animeTitle	Honoo no Haramase Paidol My★Star Gakuen Z The Animation
animeType	OVA
animeNumEpisode	1
releaseDate	2015-04-24 00:00:00
endDate	
animeNumMembers	6905
animeScore	7.05
animeUsers	2393
animeRank	
animePopularity	6171
animeDescription	Based on the adult novel by Minami Ebinuma and Squeez.
animeRelated	['Honoo no Haramase Paidol My★Star Gakuen Z', 'Honoo no Haramase Motto! Hatsuiku! Karada Sokutei 2', 'Honoo no Haramase Oppai: Ero Appli Gakuen The Animation']
animeCharacters	['Aizawa, Momoka', 'Kugayama, Nanako', 'Kuroki, Shion', 'Isuzugawa, Akino', 'Matsuda, Yukari', 'Kisaragi, Sora', 'Hoshizaki, Hime', 'Hinagata, Kobato', 'Hoshizaki, Amane', 'Minami, Aisa']
animeVoices	['Jinbo, Tomoe', 'Ogura, Yui', 'Nakata, Junko', 'Nishino, Korone', 'Akino, Hana', 'Mizusawa, Kei', 'Tachibana, Shiho', 'Sanada, Akane', 'Aoba, Ringo']
animeStaff	[['Raika, Ken', 'Director'], ['Doshida, Tomoaki', 'Storyboard'], ['Suzuki, Takato', 'Character Design'], ['Squeez', 'Original Creator']]
