animeTitle	D.I.C.E.
animeType	TV
animeNumEpisode	40
releaseDate	2005-12-06 00:00:00
endDate	2006-09-19 00:00:00
animeNumMembers	4337
animeScore	6.33
animeUsers	1963
animeRank	7034
animePopularity	7422
animeDescription	"DICE (DNA Integrated Cybernetic Enterprises) is a large organization established to deal with problems in the Sarbylion galaxy. DICE F-99 is the only unit comprised entirely of children.

When a problem arises, DICE is called to the rescue. And when their special training and skills aren`t enough, they rely on their Dinobreakers, which can transform from Vehicle Mode to Dino Mode, to help get the job done!

Always on call, always on alert - DICE is ready for action! 

(Source: AniDB)"
animeRelated	[]
animeCharacters	"['Siegel, Jet', 'Lee, Chao', 'Rizarov, Marsha', 'Angel, Puffy', 'Clapice, Robert', 'Carter, Tak', 'Rocca, Marco', ""n'Dool, Sam"", 'Siegel, Zack', 'Thomson, Jane']"
animeVoices	['Sakaguchi, Daisuke', 'Miyake, Kenta', 'Kakazu, Yumi', 'Watanabe, Akeno', 'Sugiyama, Noriaki', 'Chiba, Susumu', 'Kawada, Shinji', 'Matsumoto, Megumi', 'Kawahara, Yoshihisa']
animeStaff	[['Kobayashi, Hiroyasu', 'Director'], ['Kamiya, Jun', 'Director, Script, Storyboard'], ['Aketagawa, Jin', 'Sound Director'], ['Oota, Masahiko', 'Storyboard']]
