animeTitle	Saga-ken wo Meguru Animation
animeType	Movie
animeNumEpisode	4
releaseDate	2016-03-12 00:00:00
endDate	
animeNumMembers	1802
animeScore	6.05
animeUsers	410
animeRank	8416
animePopularity	9721
animeDescription	"Both shorts will be set in Saga prefecture, and will highlight the prefecture's culture. 

""Yakusoku no Utsuwa - Arita no Hatsukoi"" will be set in the town of Arita, and will be a youth story highlighting the scenery of Arita.

""Fuyu no Chikai, Natsu no Matsuri - Takeoshi no Dai-Kusunoki"" is set in the city of Takeoshi, and will center on two characters, a boy and a girl, who grow up watched over by a large camphor tree that endures the time and seasons.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Souta', 'Uchiyama, Jun', 'Yamaguchi, Rinko', 'Akino, Nao']
animeVoices	[]
animeStaff	[['Nishimura, Junji', 'Director'], ['Yoshikawa, Youichirou', 'Music'], ['Seki, Kazuhiko', 'Editing']]
