animeTitle	Tobidasu PriPara: Mi~nna de Mezase! Idol☆Grand Prix
animeType	Movie
animeNumEpisode	1
releaseDate	2015-10-24 00:00:00
endDate	
animeNumMembers	
animeScore	6.72
animeUsers	293
animeRank	
animePopularity	10357
animeDescription	The 2nd PriPara film, unlike the first this shown in stereoscopic 3D.
animeRelated	['PriPara']
animeCharacters	['Manaka, Laala', 'Houjou, Sophie', 'Minami, Mirei', 'Kurosu, Aroma', 'Vocaldoll, Falulu', 'West, Leona', 'Toudou, Shion', 'Shiratama, Mikan', 'West, Dorothy', 'Midorikaze, Fuwari']
animeVoices	['Akaneya, Himika', 'Kubota, Miyu', 'Serizawa, Yuu', 'Makino, Yui', 'Akasaki, Chinatsu', 'Wakai, Yuuki', 'Yamakita, Saki', 'Watanabe, Yui', 'Shibuya, Azuki', 'Satou, Azusa']
animeStaff	[['Yoda, Nobutaka', 'Director'], ['Mieno, Hitomi', 'Script'], ['Hara, Masaharu', 'Character Design']]
