animeTitle	Ryoujoku Hitozuma Onsen
animeType	OVA
animeNumEpisode	2
releaseDate	2005-10-25 00:00:00
endDate	2006-07-25 00:00:00
animeNumMembers	
animeScore	6.5
animeUsers	1401
animeRank	
animePopularity	7609
animeDescription	"This is a historic Japanese style hotel, but after Yuji began to work part-time, everything has gone wrong. First, the young landlady and a waitress fell victims to him. Not being satisfied with them, the next games he aims at are three young married women staying at the hotel.

(Source: AnimeNfo)"
animeRelated	[]
animeCharacters	['Yuuji', 'Ryoko', 'Azusa']
animeVoices	['Kasuga, An']
animeStaff	[['Murakami, Kotaro', 'Producer'], ['Hattori, Noritomo', 'Character Design']]
