animeTitle	b'Uhou Renka'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.69
animeUsers	3539
animeRank	
animePopularity	
animeDescription	"b""Ryouhei is suddenly summoned back to his hometown in the countryside. There, he meets Karen the mascot-girl of a lodging house. As he stands entranced by the sight of her bewitching proportions, Nagisa, the sister of Ryouhei's ex-girlfriend and the one who introduced him to Karen, looks on uneasily.\n\n(Source: AniDB)"""
animeRelated	[]
animeCharacters	[b'Tsukayama, Nagisa ', b'Kanou, Karen']
animeVoices	[b'\nMotoi, Emi\nJapanese\n', b'\nOkajima, Tae\nJapanese\n']
animeStaff	[]
