animeTitle	Ab-rah
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.69
animeUsers	134
animeRank	
animePopularity	15271
animeDescription	"Music video directed by Kouhei Yoshino for the song Ab-rah by Japanese instrumental band NETWORKS that was included on their album ""White Sky"". The video features stop motion animation using magnetic drawing toys similar to the ""Magna Doodle""."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
