animeTitle	Tiger & Bunny 2
animeType	TV
animeNumEpisode	Unknown
releaseDate	2022-01-01 00:00:00
endDate	
animeNumMembers	7923
animeScore	
animeUsers	
animeRank	
animePopularity	5851
animeDescription	Second season of Tiger & Bunny.
animeRelated	['Tiger & Bunny Movie 2: The Rising']
animeCharacters	['Kaburagi, Kotetsu T.', 'Brooks Jr., Barnaby']
animeVoices	['Hirata, Hiroaki', 'Morita, Masakazu']
animeStaff	[['Kase, Mitsuko', 'Director'], ['Katsura, Masakazu', 'Character Design'], ['Nishida, Masafumi', 'Series Composition']]
